name,bib,flag,utmb_index,utmb_agegroup,utmb_uri,utmb_name
Onorio TOMAS,3216,🇲🇽,769,20-34,https://utmb.world/en/runner/4612732.onorio.tomasjuarez,Onorio TOMAS JUAREZ
Christian CALDERÓN,3051,🇨🇱,762,20-34,https://utmb.world/en/runner/2222615.christiansthefano.calderon,Christian Sthefano CALDERON
Andris RONIMOISS,3190,🇱🇻,760,35-39,https://utmb.world/en/runner/506041.andris.ronimoiss,Andris RONIMOISS
Vaidas ZLABYS,3200,🇱🇹,760,35-39,https://utmb.world/en/runner/475785.vaidas.zlabys,Vaidas ZLABYS
Miklós ŐRI,3143,🇭🇺,759,20-34,https://utmb.world/en/runner/1131997.miklos.ori,Miklós ŐRI (Miklos ORI)
Daved SIMPAT,3208,🇲🇾,757,40-44,https://utmb.world/en/runner/154582.daved.simpat,Daved SIMPAT
Kristian JOERGENSEN,3077,🇩🇰,756,35-39,https://utmb.world/en/runner/735298.kristian.joergensen,Kristian JOERGENSEN
Rommel Stalyn SANCHEZ QUIMBIAMBA,3084,🇪🇨,754,20-34,https://utmb.world/en/runner/676606.rommelstalyn.sanchezquimbiamba,Rommel Stalyn SANCHEZ QUIMBIAMBA
Gustavo JIMENEZ ROSILLO,3080,🇪🇨,753,50-54,https://utmb.world/en/runner/549095.gustavo.jimenez,Gustavo JIMENEZ
Tomi MIKKOLA,3098,🇫🇮,753,20-34,https://utmb.world/en/runner/648925.tomikristianaleksi.mikkola,Tomi Kristian Aleksi MIKKOLA
Jesper MEINS,3079,🇩🇰,748,40-44,https://utmb.world/en/runner/2584085.jesper.meins,Jesper MEINS
Thomas DADE,3014,🇦🇺,747,20-34,https://utmb.world/en/runner/3467065.thomas.dade,Thomas DADE
Andrew GASKELL,3015,🇦🇺,745,20-34,https://utmb.world/en/runner/4465942.andrew.gaskell,Andrew GASKELL
Wilmer Joffre LOPEZ MUÑOZ,3082,🇪🇨,745,45-49,https://utmb.world/en/runner/3707921.wilmerjoffre.lopez,Wilmer Joffre LOPEZ
Antonio RAMIREZ,3215,🇲🇽,744,20-34,https://utmb.world/en/runner/4580312.antonio.ramirez,Antonio RAMIREZ
Chun Kit TSANG,3137,🇭🇰,744,40-44,https://utmb.world/en/runner/1823429.chunkit.tsang,Chun Kit TSANG
Bastien MISSUD,3017,🇦🇺,743,35-39,https://utmb.world/en/runner/2075589.bastien.missud,Bastien MISSUD
Eetu NORDMAN,3100,🇫🇮,741,35-39,https://utmb.world/en/runner/503965.eetu.nordman,Eetu NORDMAN
Matej NIDORFER,3271,🇸🇮,741,35-39,https://utmb.world/en/runner/2295077.nidorfer.matej,Nidorfer MATEJ
Michael SKOBIERSKI,3027,🇦🇹,740,40-44,https://utmb.world/en/runner/1245503.michael.skobierski,Michael SKOBIERSKI
Nenad OSTOJIĆ,3064,🇭🇷,735,40-44,https://utmb.world/en/runner/829321.nenad.ostojic,Nenad OSTOJIĆ
Majell BACKHAUSEN,3013,🇦🇺,734,35-39,https://utmb.world/en/runner/524867.majell.backhausen,Majell BACKHAUSEN
Didzis GLUŠŅEVS,3188,🇱🇻,732,20-34,https://utmb.world/en/runner/730167.didzis.glusnevs,Didzis GLUSNEVS
Fernando Rubén MENDIETA,3002,🇦🇷,731,20-34,https://utmb.world/en/runner/3872359.fernandoruben.mendieta,Fernando Ruben MENDIETA
Larry APOLINARIO,3240,🇵🇭,728,20-34,https://utmb.world/en/runner/2606919.larry.apolinario,Larry APOLINARIO
Dávid KOVÁCS,3142,🇭🇺,726,35-39,https://utmb.world/en/runner/1484589.david.kovacs,Dávid KOVÁCS
Darko ROGINA,3066,🇭🇷,724,55-59,https://utmb.world/en/runner/703153.rogina.darko,Darko ROGINA (Rogina DARKO)
Facundo Alejo NUÑER,3004,🇦🇷,724,20-34,https://utmb.world/en/runner/4503882.facundoalejo.nuner,Facundo Alejo NUÑER
Emmanuel ACUÑA,3050,🇨🇱,719,20-34,https://utmb.world/en/runner/487394.emmanuel.acuna,Emmanuel ACUNA
András HERCZOG,3141,🇭🇺,718,35-39,https://utmb.world/en/runner/4175014.andras.herczog,András HERCZOG
Cillian FLEMING,3149,🇮🇪,716,20-34,https://utmb.world/en/runner/4711764.cillian.fleming,Cillian FLEMING
Oleksandr SKOROKHOD,3293,🇺🇦,713,35-39,https://utmb.world/en/runner/1442799.oleksandr.skorokhod,Oleksandr SKOROKHOD
Edvardas MOSEIKA,3197,🇱🇹,700,20-34,https://utmb.world/en/runner/1471991.edvardas.moseika,Edvardas MOSEIKA
Ignacio GARRONE DEICAS,3298,🇺🇾,695,20-34,https://utmb.world/en/runner/1158349.ignacio.garrone,Ignacio GARRONE
Marcelo MUÑOZ,3055,🇨🇱,692,20-34,https://utmb.world/en/runner/2584733.miguelmarcelo.munozcorrea,Miguel Marcelo MUNOZ CORREA
Oleksii MELNYK,3292,🇺🇦,692,35-39,https://utmb.world/en/runner/1438743.oleksii.melnyk,Oleksii MELNYK
Benjamin VUK,3068,🇭🇷,687,35-39,https://utmb.world/en/runner/438522.benyamin.vuk,Benyamin VUK
Max MOBERG,3099,🇫🇮,686,35-39,https://utmb.world/en/runner/2208853.max.moberg,Max MOBERG
Santiago MARGOZZINI,3053,🇨🇱,686,20-34,https://utmb.world/en/runner/868833.santiago.margozzini,Santiago MARGOZZINI
Gonzalo CABALLERO,3297,🇺🇾,684,35-39,https://utmb.world/en/runner/3537079.gonzalo.caballero,Gonzalo CABALLERO
Peng-Chung CHEN,3286,🇹🇼,673,45-49,https://utmb.world/en/runner/919995.pengchung.chen,Peng Chung CHEN
Enzo FERRARI,3052,🇨🇱,670,35-39,https://utmb.world/en/runner/208826.enzo.ferrari,Enzo FERRARI
Hrvoje VLAŠIĆ,3067,🇭🇷,664,40-44,https://utmb.world/en/runner/2269985.hrvoje.vlasic,Hrvoje VLAŠIĆ
Eduardo MÜLLER,3054,🇨🇱,656,45-49,https://utmb.world/en/runner/4504380.hectoreduardo.mullerparra,Héctor Eduardo MULLER PARRA
Alberto ZANCHI,3275,🇸🇲,655,35-39,https://utmb.world/en/runner/238885.alberto.zanchi,Alberto ZANCHI
Jonas NARKELIUNAS,3198,🇱🇹,650,20-34,https://utmb.world/en/runner/1471997.jonas.narkeliunas,Jonas NARKELIŪNAS
Valdas RUBEL,3199,🇱🇹,639,35-39,https://utmb.world/en/runner/4778404.valdas.rubel,Valdas RUBEL
Gyehoon JO,3182,🇰🇷,621,35-39,https://utmb.world/en/runner/5207030.gyehoon.jo,Gyehoon JO
Yen-Tsung CHEN,3287,🇹🇼,606,45-49,https://utmb.world/en/runner/545275.yentsung.chen,Yen-Tsung CHEN
Julio César ROMÁN,3236,🇵🇾,601,40-44,https://utmb.world/en/runner/1185225.julio.roman,Julio ROMAN
Sangjun LEE,3183,🇰🇷,591,45-49,https://utmb.world/en/runner/4771070.sangjun.lee,Sang Jun LEE
Marko MARTINČIĆ,3063,🇭🇷,559,40-44,https://utmb.world/en/runner/5023950.marko.martincic,Marko MARTINČIĆ
Wayne BOTHA,3231,🇳🇿,553,50-54,https://utmb.world/en/runner/22104.wayne.botha,Wayne BOTHA
Stjepan RADIĆ,3065,🇭🇷,544,20-34,https://utmb.world/en/runner/3549087.stjepan.radic,Stjepan RADIĆ
Joel Román VALLEJOS,3237,🇵🇾,539,35-39,https://utmb.world/en/runner/3228617.joelroman.vallejosgamarra,Joel Roman VALLEJOS GAMARRA
