name,bib,sex,flag,race,utmb_index,utmb_agegroup,utmb_uri,utmb_name
Eleanor DAVIS,2143,F,🇬🇧 (United Kingdom),#3_Trail Short,755,20-34,https://utmb.world/en/runner/4194384.eleanor.davis,Eleanor DAVIS
Francesca GHELFI,1123,F,🇮🇹 (Italy),#1_Vertical Uphill,754,20-34,https://utmb.world/en/runner/1679987.francesca.ghelfi,Francesca GHELFI
Francesca GHELFI,4128,F,🇮🇹 (Italy),#5_Mountain Classic Senior,754,20-34,https://utmb.world/en/runner/1679987.francesca.ghelfi,Francesca GHELFI
Ariane WILHEM,2313,F,🇨🇭 (Switzerland),#3_Trail Short,753,20-34,https://utmb.world/en/runner/1523695.ariane.wilhem,Ariane WILHEM
Marie PERRIER,2242,F,🇲🇺 (Mauritius),#3_Trail Short,753,20-34,https://utmb.world/en/runner/633798.marie.perrier,Marie PERRIER
Andrea MAYR,1021,F,🇦🇹 (Austria),#1_Vertical Uphill,751,40-44,https://utmb.world/en/runner/342783.andrea.mayr,Andrea MAYR
Anna-Stiina ERKKILÄ,2122,F,🇫🇮 (Finland),#3_Trail Short,751,20-34,https://utmb.world/en/runner/3041669.annastiina.erkkila,Anna-Stiina ERKKILA
Elise PONCET,4083,F,🇫🇷 (France),#5_Mountain Classic Senior,750,20-34,https://utmb.world/en/runner/538635.elise.poncet,Elise PONCET
Johanna ANTILA,3102,F,🇫🇮 (Finland),#2_Trail Long,750,40-44,https://utmb.world/en/runner/3421721.johanna.antila,Johanna ANTILA
Kimber MATTOX,2354,F,🇺🇸 (United States),#3_Trail Short,750,35-39,https://utmb.world/en/runner/4057096.kimber.mattox,Kimber MATTOX
Yuri YOSHIZUMI,3180,F,🇯🇵 (Japan),#2_Trail Long,750,35-39,https://utmb.world/en/runner/1092705.yuri.yoshizumi,Yuri YOSHIZUMI
Karina CARSOLIO,2238,F,🇲🇽 (Mexico),#3_Trail Short,749,20-34,https://utmb.world/en/runner/716192.karina.carsolioavila,Karina CARSOLIO AVILA
Paulina TRACZ,3250,F,🇵🇱 (Poland),#2_Trail Long,749,20-34,https://utmb.world/en/runner/945167.paulina.tracz,Paulina TRACZ
Giuditta TURINI,3170,F,🇮🇹 (Italy),#2_Trail Long,748,20-34,https://utmb.world/en/runner/1555421.giuditta.turini,Giuditta TURINI
Emilia BRANGEFÄLT,2326,F,🇸🇪 (Sweden),#3_Trail Short,747,20-34,https://utmb.world/en/runner/4201696.emilia.brangefalt,Emilia BRANGEFÄLT
Julia FONT,2110,F,🇪🇸 (Spain),#3_Trail Short,747,20-34,https://utmb.world/en/runner/736549.julia.fontgomez,Julia FONT GOMEZ
