name,bib,sex,flag,race,utmb_index,utmb_agegroup,utmb_uri,utmb_name
Fotios ZISIMOPOULOS,3135,M,🇬🇷,#2_Trail Long,877,40-44,https://utmb.world/en/runner/3344339.fotis.zisimopoulos,Fotis ZISIMOPOULOS
Luca DEL PERO,2187,M,🇮🇹,#3_Trail Short,877,20-34,https://utmb.world/en/runner/3079761.luca.delpero,Luca DEL PERO
Craig HUNT,2348,M,🇺🇸,#3_Trail Short,876,20-34,https://utmb.world/en/runner/3977665.craig.hunt,Craig HUNT
Garrett CORCORAN,2347,M,🇺🇸,#3_Trail Short,876,20-34,https://utmb.world/en/runner/4357624.garrett.corcoran,Garrett CORCORAN
Alejandro GARCÍA,1069,M,🇪🇸,#1_Vertical Uphill,875,20-34,https://utmb.world/en/runner/4016630.alejandro.garciacarrillo,Alejandro GARCIA CARRILLO
Alejandro GARCÍA,4066,M,🇪🇸,#5_Mountain Classic Senior,875,20-34,https://utmb.world/en/runner/4016630.alejandro.garciacarrillo,Alejandro GARCIA CARRILLO
Dimas PEREIRA,2109,M,🇪🇸,#3_Trail Short,875,20-34,https://utmb.world/en/runner/1957957.dimas.pereira,Dimas PEREIRA
Eric LIPUMA,3303,M,🇺🇸,#2_Trail Long,875,20-34,https://utmb.world/en/runner/1562709.eric.lipuma,Eric LIPUMA
Julien RANCON,2129,M,🇫🇷,#3_Trail Short,875,40-44,https://utmb.world/en/runner/9805.julien.rancon,Julien RANCON
Leonard Albert MITRICA,2286,M,🇷🇴,#3_Trail Short,875,20-34,https://utmb.world/en/runner/1238621.leonard.mitrica,Leonard MITRICA
Peter FRAŇO,3284,M,🇸🇰,#2_Trail Long,874,20-34,https://utmb.world/en/runner/1238361.peter.frano,Peter FRANO
Ramon MANETSCH,3277,M,🇨🇭,#2_Trail Long,873,35-39,https://utmb.world/en/runner/1503847.ramon.manetsch,Ramon MANETSCH
Alex BALDACCINI,1115,M,🇮🇹,#1_Vertical Uphill,872,35-39,https://utmb.world/en/runner/678352.alex.baldaccini,Alex BALDACCINI
Baptiste CHASSAGNE,3105,M,🇫🇷,#2_Trail Long,872,20-34,https://utmb.world/en/runner/1250019.baptiste.chassagne,Baptiste CHASSAGNE
Dominik ROLLI,1208,M,🇨🇭,#1_Vertical Uphill,871,20-34,https://utmb.world/en/runner/1577763.dominik.rolli,Dominik ROLLI
Dominik ROLLI,4216,M,🇨🇭,#5_Mountain Classic Senior,871,20-34,https://utmb.world/en/runner/1577763.dominik.rolli,Dominik ROLLI
Paul MATHOU,3109,M,🇫🇷,#2_Trail Long,871,20-34,https://utmb.world/en/runner/595330.paul.mathou,Paul MATHOU
Tao LUO,2071,M,🇨🇳,#3_Trail Short,871,20-34,https://utmb.world/en/runner/544891.tao.luo,Tao LUO
Tao LUO,4046,M,🇨🇳,#5_Mountain Classic Senior,871,20-34,https://utmb.world/en/runner/544891.tao.luo,Tao LUO
Daniel PATTIS,2191,M,🇮🇹,#3_Trail Short,870,20-34,https://utmb.world/en/runner/3992535.daniel.pattis,Daniel PATTIS
Hans-Peter INNERHOFER,2025,M,🇦🇹,#3_Trail Short,869,20-34,https://utmb.world/en/runner/3450111.hanspeter.innerhofer,Hans-Peter INNERHOFER
Harry JONES,3119,M,🇬🇧,#2_Trail Long,869,20-34,https://utmb.world/en/runner/568200.harry.jones,Harry JONES
Marcos RAMOS,3094,M,🇪🇸,#2_Trail Long,869,20-34,https://utmb.world/en/runner/707262.marcos.ramosgonzalez,Marcos RAMOS-GONZALEZ
Mårten BOSTRÖM,2116,M,🇫🇮,#3_Trail Short,869,40-44,https://utmb.world/en/runner/109970.marten.bostrom,Mårten BOSTROM
Gianluca GHIANO,2188,M,🇮🇹,#3_Trail Short,868,20-34,https://utmb.world/en/runner/2073279.gianluca.ghiano,Gianluca GHIANO
Juho YLINEN,2121,M,🇫🇮,#3_Trail Short,868,20-34,https://utmb.world/en/runner/3281665.juho.ylinen,Juho YLINEN
Krzysztof BODURKA,2267,M,🇵🇱,#3_Trail Short,868,20-34,https://utmb.world/en/runner/1854741.krzysztof.bodurka,Krzysztof BODURKA
Luca ARRIGONI,3159,M,🇮🇹,#2_Trail Long,868,40-44,https://utmb.world/en/runner/1157525.luca.arrigoni,Luca ARRIGONI
Oscar CLAESSON,2322,M,🇸🇪,#3_Trail Short,868,20-34,https://utmb.world/en/runner/4523648.oscar.claesson,Oscar CLAESSON
Andrew DOUGLAS,1084,M,🇬🇧,#1_Vertical Uphill,867,35-39,https://utmb.world/en/runner/2244173.andrew.douglas,Andrew DOUGLAS
Andrew DOUGLAS,4085,M,🇬🇧,#5_Mountain Classic Senior,867,35-39,https://utmb.world/en/runner/2244173.andrew.douglas,Andrew DOUGLAS
Preston CATES,3301,M,🇺🇸,#2_Trail Long,867,20-34,https://utmb.world/en/runner/4128256.preston.cates,Preston CATES
Riccardo MONTANI,3165,M,🇮🇹,#2_Trail Long,867,20-34,https://utmb.world/en/runner/291288.riccardo.montani,Riccardo MONTANI
Theodore KLEIN,1078,M,🇫🇷,#1_Vertical Uphill,867,20-34,https://utmb.world/en/runner/4017661.theodore.klein,Theodore KLEIN
Theodore KLEIN,4077,M,🇫🇷,#5_Mountain Classic Senior,867,20-34,https://utmb.world/en/runner/4017661.theodore.klein,Theodore KLEIN
Andrea ROSTAN,1120,M,🇮🇹,#1_Vertical Uphill,866,20-34,https://utmb.world/en/runner/3079753.andrea.rostan,Andrea ROSTAN
Philipp AUSSERHOFER,3160,M,🇮🇹,#2_Trail Long,866,20-34,https://utmb.world/en/runner/1996295.philipp.ausserhofer,Philipp AUSSERHOFER
Quentin MEYLEU,1079,M,🇫🇷,#1_Vertical Uphill,866,20-34,https://utmb.world/en/runner/2365397.quentin.meyleu,Quentin MEYLEU
Quentin MEYLEU,4078,M,🇫🇷,#5_Mountain Classic Senior,866,20-34,https://utmb.world/en/runner/2365397.quentin.meyleu,Quentin MEYLEU
Sebastian KROGVIG,2249,M,🇳🇴,#3_Trail Short,866,35-39,https://utmb.world/en/runner/510145.sebastian.krogvig,Sebastian KROGVIG
Mario OLMEDO,2108,M,🇪🇸,#3_Trail Short,865,20-34,https://utmb.world/en/runner/457013.mario.olmedo,Mario OLMEDO
Romain MAILLARD,3107,M,🇫🇷,#2_Trail Long,865,40-44,https://utmb.world/en/runner/6609.romain.maillard,Romain MAILLARD
Sam HENDRY,4029,M,🇨🇦,#5_Mountain Classic Senior,865,20-34,https://utmb.world/en/runner/4595608.sam.hendry,Sam HENDRY
