name,bib,flag,utmb_index,utmb_agegroup,utmb_uri,utmb_name
Jonas HESTHAUG,2247,🇳🇴 (Norway),825,20-34,https://utmb.world/en/runner/1718973.jonas.hesthaug,Jonas HESTHAUG
Marc DÜRR,2146,🇩🇪 (Germany),825,20-34,https://utmb.world/en/runner/1383541.marc.durr,Marc DURR
Athanasios PAGOUNADIS,2156,🇬🇷 (Greece),822,35-39,https://utmb.world/en/runner/1113973.athanasios.pagounadis,Athanasios PAGOUNADIS
Christian LEU,2308,🇨🇭 (Switzerland),822,20-34,https://utmb.world/en/runner/4669800.christian.leu,Christian LEU
François LEBOEUF,2307,🇨🇭 (Switzerland),819,35-39,https://utmb.world/en/runner/678450.francois.leboeuf,François LEBOEUF
Linus HULTEGÅRD,2324,🇸🇪 (Sweden),816,20-34,https://utmb.world/en/runner/321121.linus.hultegard,Linus HULTEGÅRD
Paulo MESQUITA,2274,🇵🇹 (Portugal),816,20-34,https://utmb.world/en/runner/1396793.paulo.mesquita,Paulo MESQUITA
Moises MARTÍNEZ,2237,🇲🇽 (Mexico),813,50-54,https://utmb.world/en/runner/4822932.moises.martinez,Moises MARTINEZ
Huub VAN NOORDEN,2244,🇳🇱 (Netherlands),810,35-39,https://utmb.world/en/runner/262295.huub.vannoorden,Huub VAN NOORDEN
Marko TRATNIK,2299,🇸🇮 (Slovenia),810,35-39,https://utmb.world/en/runner/898203.marko.tratnik,Marko TRATNIK
Diego Ramón SIMON,2007,🇦🇷 (Argentina),809,35-39,https://utmb.world/en/runner/892921.diegoramon.simon,Diego Ramon SIMON
Ruud KAPPERT,2243,🇳🇱 (Netherlands),809,20-34,https://utmb.world/en/runner/945819.ruud.kappert,Ruud KAPPERT
Alexandru Marinel BLEJDEA,2284,🇷🇴 (Romania),807,20-34,https://utmb.world/en/runner/3981303.alexandru.blejdea,Alexandru BLEJDEA
Marcus RIBI,2054,🇨🇦 (Canada),805,20-34,https://utmb.world/en/runner/1709393.marcus.ribi,Marcus RIBI
Máté Dávid VÁSÁRHELYI,2161,🇭🇺 (Hungary),801,20-34,https://utmb.world/en/runner/4032137.mate.vasarhelyi,Máté VÁSÁRHELYI
Thomas WANNINGER,2149,🇩🇪 (Germany),797,35-39,https://utmb.world/en/runner/1995989.thomas.wanninger,Thomas WANNINGER
Domantas KAVALIAUSKAS,2222,🇱🇹 (Lithuania),795,20-34,https://utmb.world/en/runner/2418257.domantas.kavaliauskas,Domantas KAVALIAUSKAS
Halldór Hermann JÓNSSON,2181,🇮🇸 (Iceland),793,35-39,https://utmb.world/en/runner/3340539.halldor.jonsson,Halldor JONSSON
Daniel CONNOLLY,2140,🇬🇧 (United Kingdom),789,20-34,https://utmb.world/en/runner/3274099.daniel.connolly,Daniel CONNOLLY
Aleš ŽONTAR,2300,🇸🇮 (Slovenia),786,40-44,https://utmb.world/en/runner/302118.ales.zontar,Ales ZONTAR
Frederik Hagen ERNST,2087,🇩🇰 (Denmark),786,20-34,https://utmb.world/en/runner/1031069.frederik.ernst,Frederik ERNST
Christian Grøn NØRFELT,2089,🇩🇰 (Denmark),784,40-44,https://utmb.world/en/runner/527333.christian.norfelt,Christian NORFELT
Matthew CREHAN,2014,🇦🇺 (Australia),784,35-39,https://utmb.world/en/runner/1583491.matthew.crehan,Matthew CREHAN
Jörundur Frímann JÓNASSON,2180,🇮🇸 (Iceland),783,20-34,https://utmb.world/en/runner/4206149.jorundur.jonasson,Jörundur JÓNASSON
Emmanouil POURIKAS,2157,🇬🇷 (Greece),781,20-34,https://utmb.world/en/runner/2191145.emmanouil.pourikas,Emmanouil POURIKAS
Ezequiel Alexis PAULUZAK,2005,🇦🇷 (Argentina),781,35-39,https://utmb.world/en/runner/378215.ezequielalexis.pauluzak,Ezequiel Alexis PAULUZAK
Gerhard KAUFMANN,2026,🇦🇹 (Austria),779,35-39,https://utmb.world/en/runner/4180173.gerhard.kaufmann,Gerhard KAUFMANN
Jacques DU PLESSIS,2292,🇿🇦 (South Africa),779,20-34,https://utmb.world/en/runner/4321536.jacques.duplessis,Jacques DU PLESSIS
Samuël POHER,2052,🇨🇦 (Canada),779,20-34,https://utmb.world/en/runner/515734.samuel.poher,Samuël POHER
Jessie MCAULEY,2051,🇨🇦 (Canada),778,20-34,https://utmb.world/en/runner/2347837.jessie.mcauley,Jessie MCAULEY
Anders POUL,2090,🇩🇰 (Denmark),776,35-39,https://utmb.world/en/runner/838103.anders.poul,Anders POUL
Barry MCEVOY,2175,🇮🇪 (Ireland),774,20-34,https://utmb.world/en/runner/4212098.barry.mcevoy,Barry MCEVOY
Juha SORVISTO,2120,🇫🇮 (Finland),767,35-39,https://utmb.world/en/runner/3281667.juha.sorvisto,Juha SORVISTO
Max BODERSKOV,2086,🇩🇰 (Denmark),766,35-39,https://utmb.world/en/runner/3193895.max.boderskov,Max BODERSKOV
Enda CLOAKE,2172,🇮🇪 (Ireland),762,20-34,https://utmb.world/en/runner/4212102.enda.cloake,Enda CLOAKE
Ievgen DZHADAN,2335,🇺🇦 (Ukraine),760,20-34,https://utmb.world/en/runner/3620505.ievgen.dzhadan,Ievgen DZHADAN
Josip MEŠTRIĆ,2075,🇭🇷 (Croatia),760,20-34,https://utmb.world/en/runner/4203609.josip.mestric,Josip MEŠTRIĆ
Ryan FARRUGIA,2241,🇲🇹 (Malta),759,35-39,https://utmb.world/en/runner/698942.ryan.farrugia,Ryan FARRUGIA
Bruno SCHUMI,2029,🇦🇹 (Austria),756,50-54,https://utmb.world/en/runner/3283893.schumi.bruno,Schumi BRUNO
Alex Xavier LOZANO ESPINOSA,2096,🇪🇨 (Ecuador),755,20-34,https://utmb.world/en/runner/4220199.alexxavier.lozanoespinosa,Alex Xavier LOZANO ESPINOSA
Jonatan AROBES,2106,🇪🇸 (Spain),754,20-34,https://utmb.world/en/runner/2532893.jonathan.arobes,Jonathan AROBES
Miroslav HRAŠKO,2316,🇸🇰 (Slovakia),752,20-34,https://utmb.world/en/runner/3789661.miroslav.hrasko,Miroslav HRAŠKO
Antti PARJANNE,2118,🇫🇮 (Finland),751,40-44,https://utmb.world/en/runner/1390719.antti.parjanne,Antti PARJANNE
Eldin HODZIC,2074,🇭🇷 (Croatia),746,20-34,https://utmb.world/en/runner/2969433.eldin.hodzic,Eldin HODŽIĆ
Nejc BLATNIK,2298,🇸🇮 (Slovenia),744,20-34,https://utmb.world/en/runner/3065077.nejc.blatnik,Nejc BLATNIK
John KINSELLA,2174,🇮🇪 (Ireland),742,40-44,https://utmb.world/en/runner/4215136.john.kinsella,John KINSELLA
Jānis KŪMS,2214,🇱🇻 (Latvia),741,35-39,https://utmb.world/en/runner/394035.janis.kums,Janis KUMS
Matej SCHIEBER,2318,🇸🇰 (Slovakia),740,20-34,https://utmb.world/en/runner/5069897.matej.schieber,Matej SCHIEBER
