name,bib,flag,utmb_index,utmb_agegroup,utmb_uri,utmb_name
Klaire RHODES,2355,🇺🇸,679,20-34,https://utmb.world/en/runner/3987029.klaire.rhodes,Klaire RHODES
Jasmine SARGEANT,2022,🇦🇺,677,20-34,https://utmb.world/en/runner/1450791.jasmine.sargeant,Jasmine SARGEANT
Ivana LÍŠKOVÁ,2320,🇸🇰,669,20-34,https://utmb.world/en/runner/2339663.ivana.liskova,Ivana LÍŠKOVÁ
Beatriz ALVES,2278,🇵🇹,668,20-34,https://utmb.world/en/runner/2595291.beatriz.alves,Beatriz ALVES
Anja KOBS,2153,🇩🇪,666,45-49,https://utmb.world/en/runner/3450145.anja.kobs,Anja KOBS
Michaela PILAT,2033,🇦🇹,664,20-34,https://utmb.world/en/runner/4248747.michaela.pilat,Michaela PILAT
Jessica CAMPBELL,2254,🇳🇿,660,35-39,https://utmb.world/en/runner/3528749.jessica.campbell,Jessica CAMPBELL
Shelly SCHENK,2312,🇨🇭,659,20-34,https://utmb.world/en/runner/2087143.shelly.schenk,Shelly SCHENK
Roxana Paola FLORES,2009,🇦🇷,658,35-39,https://utmb.world/en/runner/4359270.roxanapaola.flores,Roxana Paola FLORES
Ida Amelie Eid ROBSAHM,2252,🇳🇴,655,20-34,https://utmb.world/en/runner/4671760.idaamelie.robsahm,Ida Amelie ROBSAHM
Íris Anna SKÚLADÓTTIR,2186,🇮🇸,654,20-34,https://utmb.world/en/runner/4628942.irisanna.skuladottir,Íris Anna SKÚLADÓTTIR (Iris Anna SKULADOTTIR)
Anna PÁLMADÓTTIR,2185,🇮🇸,653,40-44,https://utmb.world/en/runner/726926.annaberglind.palmadottir,Anna Berglind PALMADOTTIR
Maria Paula GALINDEZ,2010,🇦🇷,651,20-34,https://utmb.world/en/runner/3643987.mariapaula.galindez,Maria Paula GALINDEZ
Yenni SUSANO,2240,🇲🇽,649,35-39,https://utmb.world/en/runner/4997654.yenni.susanobermudez,Yenni SUSANO BERMUDEZ
Mirjana ŠIMEK BILIĆ,2082,🇭🇷,641,35-39,https://utmb.world/en/runner/4213753.mirjana.simekbilic,Mirjana ŠIMEK BILIĆ (Mirjana SIMEK BILIC)
