name,bib,flag,utmb_index,utmb_agegroup,utmb_uri,utmb_name
Sara SUPERINA,1050,🇭🇷,0,,,
Sarah DOUGLAS,1167,🇳🇿,0,35-39,https://utmb.world/en/runner/2330521.douglas.sarah,Douglas SARAH
Sasha GOLLISH,1035,🇨🇦,0,,,
Silvia SCHWAIGER,1217,🇸🇰,0,40-44,https://utmb.world/en/runner/2330463.silvia.schwaiger,Silvia SCHWAIGER
Tea FABER,1048,🇭🇷,0,20-34,https://utmb.world/en/runner/2401277.tea.faber,Tea FABER
Tereza HROCHOVÁ,1056,🇨🇿,0,20-34,https://utmb.world/en/runner/3709151.tereza.hrochova,Tereza HROCHOVA
Valentina BELOTTI,1121,🇮🇹,0,40-44,https://utmb.world/en/runner/3310083.valentina.belotti,Valentina BELOTTI
Valentina VENERUCCI,1204,🇸🇲,0,,,
Valentine Jepkoech RUTTO,1132,🇰🇪,0,,,
Valeria CORREA,1041,🇨🇱,0,,,
Virginija BERNOTAITE,1140,🇱🇹,0,,,
Vivien BONZI,1122,🇮🇹,0,,,
